task_idx,task_id,subtask_idx,is_final,subtask_description,n_steps,n_errors,n_api_calls,n_readonly_calls,n_unique_api_fqs,step_of_first_complete_task,n_complete_task_calls,chars_assistant,chars_output,final_score,final_success
49,6c2c621_2,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
49,6c2c621_2,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
49,6c2c621_2,3,True,"Export all my Simple Note notes to ""~/backups/notes/"" directory in my file system. The files should be named according to the note title, replacing white space with ""_"", and the extension should be "".md"".",10,0,19,13,10,9,1,3216,11651,1.0,1.0
50,6c2c621_3,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2806,3299,,
50,6c2c621_3,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
50,6c2c621_3,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
50,6c2c621_3,3,True,"Export all my Simple Note notes to ""~/backups/simple_notes/"" directory in my file system. The files should be named according to the note title, replacing white space with ""_"", and the extension should be "".md"".",11,0,18,13,10,10,1,5090,12531,1.0,1.0
51,396c5a2_1,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2808,3299,,
51,396c5a2_1,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
51,396c5a2_1,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
51,396c5a2_1,3,True,Add all the songs from Lily Moon that have been played over 980 times to my Spotify player queue.,8,0,13,10,7,7,1,2230,19572,1.0,1.0
52,396c5a2_2,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2804,3299,,
52,396c5a2_2,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
52,396c5a2_2,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
52,396c5a2_2,3,True,Add all the songs from Aria Sterling that have been played over 990 times to my Spotify player queue.,7,0,15,12,8,6,1,2304,11482,1.0,1.0
53,396c5a2_3,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2805,3299,,
53,396c5a2_3,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
53,396c5a2_3,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
53,396c5a2_3,3,True,Add all the songs from Astrid Nightshade that have been played over 980 times to my Spotify player queue.,6,0,15,12,8,5,1,2921,11073,1.0,1.0
54,4fab96f_1,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2811,3299,,
54,4fab96f_1,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
54,4fab96f_1,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
54,4fab96f_1,3,True,Send a reminder on Venmo for all my payment requests to my roommates which have not been approved or denied for 30 or more days.,12,1,24,20,10,11,1,3703,25516,1.0,1.0
55,4fab96f_2,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2807,3299,,
55,4fab96f_2,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
55,4fab96f_2,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
55,4fab96f_2,3,True,Send a reminder on Venmo for all my payment requests to my coworkers which have not been approved or denied for 40 or more days.,8,0,14,10,8,7,1,3149,32002,1.0,1.0
56,4fab96f_3,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2805,3299,,
56,4fab96f_3,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
56,4fab96f_3,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
56,4fab96f_3,3,True,Send a reminder on Venmo for all my payment requests to my roommates which have not been approved or denied for 50 or more days.,8,0,14,10,8,7,1,4249,8672,1.0,1.0
